BJD - 2454833, Corrected Flux
3074.404130434, 0.998419010,
3074.424562911, 0.998277460,
3074.444995289, 0.998304173,
3074.465427865, 0.998176554,
3074.485860342, 0.998492368,
3074.506292717, 0.998219606,
3074.526725293, 0.998364027,
3074.547157767, 0.998146070,
3074.567590241, 0.998075379,
3074.588022715, 0.997943721,
3074.608455188, 0.997930372,
3074.649320132, 0.997602551,
3074.669752603, 0.997641006,
3074.690185174, 0.997700658,
3074.710617644, 0.997429933,
3074.731050014, 0.997589825,
3074.751482584, 0.997564419,
3074.771915052, 0.997543733,
3074.792347421, 0.997941461,
3074.812779988, 0.997343193,
3074.833212455, 0.997573027,
3074.853644821, 0.997466146,
3074.894509853, 0.997487457,
3074.914942218, 0.997284982,
3074.935374782, 0.997136605,
3074.955807246, 0.997646530,
3074.976239609, 0.997045716,
3074.996672172, 0.997057872,
3075.017104634, 0.997159851,
3075.037537096, 0.996774830,
3075.057969557, 0.997269794,
3075.078402017, 0.997190134,
3075.098834477, 0.997173841,
3075.139699396, 0.996962753,
3075.160131854, 0.996420567,
3075.180564312, 0.996488196,
3075.200996769, 0.996607280,
3075.221429326, 0.996549537,
3075.241861682, 0.996248823,
3075.262294138, 0.996577659,
3075.282726693, 0.996439108,
3075.303159048, 0.996768967,
3075.323591502, 0.996608929,
3075.344024055, 0.996275334,
3075.364456408, 0.995981161,
3075.384888861, 0.995863990,
3075.405321413, 0.996186548,
3075.425753764, 0.995866336,
3075.446186215, 0.996046529,
3075.466618765, 0.996007658,
3075.487051115, 0.995897478,
3075.507483564, 0.996031271,
3075.527916113, 0.996178878,
3075.548348561, 0.996037409,
3075.568780909, 0.995766291,
3075.589213456, 0.995763965,
3075.630078349, 0.995658377,
3075.650510794, 0.995541220,
3075.670943239, 0.995682990,
3075.691375783, 0.995713386,
3075.711808128, 0.995535716,
3075.732240571, 0.995513696,
3075.752673014, 0.995627743,
3075.773105456, 0.995511605,
3075.793537898, 0.995301222,
3075.813970339, 0.995334131,
3075.834402780, 0.995248467,
3075.875267660, 0.995585116,
3075.895700099, 0.995510426,
3075.916132537, 0.995534933,
3075.936564975, 0.995370833,
3075.956997413, 0.995551020,
3075.977429850, 0.995005388,
3075.997862286, 0.995009689,
3076.018294722, 0.995005893,
3076.038727158, 0.995115251,
3076.059159692, 0.995125683,
3076.079592027, 0.994774666,
3076.120456994, 0.995252507,
3076.140889326, 0.995387930,
3076.161321758, 0.995411586,
3076.181754290, 0.995108063,
3076.202186621, 0.995400587,
3076.222619052, 0.995059283,
3076.243051582, 0.995287819,
3076.263483911, 0.995468579,
3076.283916440, 0.995241796,
3076.304348869, 0.995338397,
3076.324781197, 0.995297158,
3076.365646151, 0.995209234,
3076.386078578, 0.995217988,
3076.406511003, 0.995173104,
3076.426943428, 0.995127929,
3076.447375853, 0.995033765,
3076.467808278, 0.995140053,
3076.488240701, 0.995076060,
3076.508673124, 0.994949339,
3076.529105547, 0.995070003,
3076.549537969, 0.994982104,
3076.569970391, 0.994866865,
3076.631267552, 0.995272813,
3076.651700072, 0.994911164,
3076.672132490, 0.994870795,
3076.692564809, 0.994880700,
3076.712997327, 0.995036214,
3076.733429744, 0.995077664,
3076.753862161, 0.995197404,
3076.774294577, 0.995065888,
3076.794726993, 0.995262975,
3076.815159409, 0.994668279,
3076.835591823, 0.994721681,
3076.856024237, 0.994884834,
3076.876456751, 0.994996748,
3076.896889164, 0.995083867,
3076.917321477, 0.994942649,
3076.937753989, 0.995016522,
3076.958186400, 0.995647067,
3076.978618711, 0.994848040,
3076.999051222, 0.994914634,
3077.019483632, 0.994893719,
3077.039915942, 0.994786613,
3077.060348451, 0.994930934,
3077.101213167, 0.994999025,
3077.121645674, 0.994996547,
3077.142078081, 0.994937245,
3077.162510387, 0.994848800,
3077.182942893, 0.995095284,
3077.203375298, 0.994838753,
3077.223807703, 0.994708681,
3077.244240107, 0.994734460,
3077.264672511, 0.994587548,
3077.285104914, 0.994596870,
3077.305537317, 0.994923023,
3077.325969719, 0.994742162,
3077.346402021, 0.994835744,
3077.366834522, 0.994855008,
3077.387266923, 0.994353498,
3077.407699223, 0.994658146,
